ID,Time,Is_CH,Who CH,Dist_To_CH,ADV_S,ADV_R,JOIN_S,JOIN_R,SCH_S,SCH_R,Rank,DATA_S,DATA_R,Data_Sent_To_BS,dist_CH_To_BS,send_code,Expaned Energy
109083,453,1,109083,0.0,1,10,0,1,1,0,0,0,200,200,157.00282,0,3.0683
203020,1103,1,203100,0.0,1,5,0,1,1,0,0,0,181,181,111.92111,0,0.86124
109083,453,1,109083,0.0,1,10,0,1,1,0,0,0,200,200,157.00282,0,3.0683
109083,453,1,109083,0.0,1,10,0,1,1,0,0,0,200,200,157.00282,0,3.0683
109083,453,1,109083,0.0,1,10,0,1,1,0,0,0,200,200,157.00282,0,3.0683
109083,453,1,109083,0.0,1,10,0,1,1,0,0,0,200,200,157.00282,0,3.0683
109083,453,1,109083,0.0,1,10,0,1,1,0,0,0,200,200,157.00282,0,3.0683
109083,453,1,109083,0.0,1,10,0,1,1,0,0,0,200,200,157.00282,0,3.0683
109083,453,1,109083,0.0,1,10,0,1,1,0,0,0,200,200,157.00282,0,3.0683
109083,453,1,109083,0.0,1,10,0,1,1,0,0,0,200,200,157.00282,0,3.0683
